zip,primary_city,acceptable_cities,state,county
13368,Lyons Falls,,NY,Lewis County
13401,Mc Connellsville,Mc Conelsvile,NY,Oneida County
13402,Madison,,NY,Madison County
13403,Marcy,,NY,Oneida County
13404,Martinsburg,,NY,Lewis County
13406,Middleville,,NY,Herkimer County
13407,Mohawk,,NY,Herkimer County
13408,Morrisville,,NY,Madison County
13409,Munnsville,Pratts Hollow,NY,Madison County
13410,Nelliston,,NY,Montgomery County
13411,New Berlin,"S Edmeston, South Edmeston",NY,Chenango County
13413,New Hartford,,NY,Oneida County
13415,New Lisbon,,NY,Otsego County
13416,Newport,,NY,Herkimer County
13417,New York Mills,New York Mls,NY,Oneida County
13418,North Brookfield,N Brookfield,NY,Madison County
13420,Old Forge,,NY,Herkimer County
13421,Oneida,,NY,Madison County
13424,Oriskany,,NY,Oneida County
13425,Oriskany Falls,Oriskany Fls,NY,Oneida County
13426,Orwell,,NY,Oswego County
13428,Palatine Bridge,Palatine Brg,NY,Montgomery County
13431,Poland,,NY,Herkimer County
13433,Port Leyden,,NY,Lewis County
13435,Prospect,,NY,Oneida County
13436,Raquette Lake,,NY,Hamilton County
13437,Redfield,,NY,Oswego County
13438,Remsen,,NY,Oneida County
13439,Richfield Springs,Richfld Spgs,NY,Otsego County
13440,Rome,,NY,Oneida County
13441,Rome,,NY,Oneida County
13442,Rome,,NY,Oneida County
13449,Rome,,NY,Oneida County
13450,Roseboom,,NY,Otsego County
13452,Saint Johnsville,St Johnsville,NY,Montgomery County
13454,Salisbury Center,Salisbury Ctr,NY,Herkimer County
13455,Sangerfield,,NY,Oneida County
13456,Sauquoit,Paris,NY,Oneida County
13457,Schuyler Lake,,NY,Otsego County
13459,Sharon Springs,Sharon Spgs,NY,Schoharie County
13460,Sherburne,,NY,Chenango County
13461,Sherrill,,NY,Oneida County
13464,Smyrna,,NY,Chenango County
13465,Solsville,,NY,Madison County
13468,Springfield Center,Springfld Ctr,NY,Otsego County
13469,Stittville,,NY,Oneida County
13470,Stratford,,NY,Fulton County
13471,Taberg,,NY,Oneida County
13472,Thendara,,NY,Herkimer County
13473,Turin,,NY,Lewis County
13475,Van Hornesville,Van Hornesvle,NY,Herkimer County
13476,Vernon,,NY,Oneida County
13477,Vernon Center,,NY,Oneida County
13478,Verona,,NY,Oneida County
13479,Washington Mills,Washingtn Mls,NY,Oneida County
13480,Waterville,,NY,Oneida County
13482,West Burlington,W Burlington,NY,Otsego County
13483,Westdale,,NY,Oneida County
13484,West Eaton,,NY,Madison County
13485,West Edmeston,,NY,Madison County
13486,Westernville,,NY,Oneida County
13488,Westford,,NY,Otsego County
13489,West Leyden,,NY,Lewis County
13490,Westmoreland,,NY,Oneida County
13491,West Winfield,West Exeter,NY,Herkimer County
13492,Whitesboro,,NY,Oneida County
13493,Williamstown,,NY,Oswego County
13494,Woodgate,,NY,Oneida County
13495,Yorkville,,NY,Oneida County
13501,Utica,,NY,Oneida County
13502,Utica,Deerfield,NY,Oneida County
13503,Utica,,NY,Oneida County
13504,Utica,,NY,Oneida County
13505,Utica,,NY,Oneida County
13599,Utica,,NY,Oneida County
13601,Watertown,Glen Park,NY,Jefferson County
13602,Fort Drum,Watertown,NY,Jefferson County
13603,Watertown,Fort Drum,NY,Jefferson County
13605,Adams,Smithville,NY,Jefferson County
13606,Adams Center,,NY,Jefferson County
13607,Alexandria Bay,"Alex Bay, Point Vivian",NY,Jefferson County
13608,Antwerp,,NY,Jefferson County
13611,Belleville,,NY,Jefferson County
13612,Black River,,NY,Jefferson County
13613,Brasher Falls,,NY,St. Lawrence County
13614,Brier Hill,,NY,St. Lawrence County
13615,Brownville,,NY,Jefferson County
13616,Calcium,,NY,Jefferson County
13617,Canton,,NY,St. Lawrence County
13618,Cape Vincent,,NY,Jefferson County
13619,Carthage,,NY,Jefferson County
13620,Castorland,,NY,Lewis County
13621,Chase Mills,,NY,St. Lawrence County
13622,Chaumont,,NY,Jefferson County
13623,Chippewa Bay,,NY,St. Lawrence County
13624,Clayton,"Frontenac, Grenell, Murray Isle",NY,Jefferson County
13625,Colton,,NY,St. Lawrence County
13626,Copenhagen,"Barnes Corners, Barnes Cors, South Rutland",NY,Lewis County
13627,Deer River,,NY,Lewis County
13628,Deferiet,,NY,Jefferson County
13630,De Kalb Junction,De Kalb Jct,NY,St. Lawrence County
13631,Denmark,,NY,Lewis County
13632,Depauville,,NY,Jefferson County
13633,De Peyster,,NY,St. Lawrence County
13634,Dexter,,NY,Jefferson County
13635,Edwards,,NY,St. Lawrence County
13636,Ellisburg,,NY,Jefferson County
13637,Evans Mills,,NY,Jefferson County
13638,Felts Mills,,NY,Jefferson County
13639,Fine,,NY,St. Lawrence County
13640,Wellesley Island,"Fineview, Wellesley Is",NY,Jefferson County
13641,Fishers Landing,Fishers Lndg,NY,Jefferson County
13642,Gouverneur,Balmat,NY,St. Lawrence County
13643,Great Bend,,NY,Jefferson County
